question,answer,category,difficulty,tags
"What is Angular Framework?","Angular is a TypeScript-based open-source front-end platform that makes it easy to build web, mobile and desktop applications. The major features of this framework include declarative templates, dependency injection, end to end tooling which ease application development.","Angular Basics","easy","angular"
"What is the difference between AngularJS and Angular?","AngularJS (version 1.x) is a JavaScript framework, whereas Angular (version 2+) is a complete rewrite of AngularJS using TypeScript, providing better performance, mobile support, modularity, and a more modern architecture.","General","intermediate","general"
"What is TypeScript?","TypeScript is a strongly typed superset of JavaScript created by Microsoft that adds optional types, classes, async/await and many other features, and compiles to plain JavaScript. Angular is written entirely in TypeScript as a primary language. You can install TypeScript globally as","General","intermediate","general"
"Write a pictorial diagram of Angular architecture?","The main building blocks of an Angular application are shown in the diagram below:- ScreenShot","Angular Basics","easy","angular;di"
"What are the key components of Angular?","Angular has the key components below,","General","intermediate","general"
"What are directives?","Directives add behaviour to an existing DOM element or an existing component instance.","General","intermediate","general"
"What are components?","Components are the most basic UI building block of an Angular app, which form a tree of Angular components. These components are a subset of directives. Unlike directives, components always have a template, and only one component can be instantiated per element in a template. Let's see a simple example of Angular component","General","intermediate","general"
"What are the differences between Component and Directive?","In a short note, A component(@component) is a directive-with-a-template.","General","intermediate","general"
"What is a template?","A template is a HTML view where you can display data by binding controls to properties of an Angular component. You can store your component's template in one of two places. You can define it inline using the template property, or you can define the template in a separate HTML file and link to it in the component metadata using the @Component decorator's templateUrl property.","General","intermediate","general"
"What is a module?","Modules are logical boundaries in your application and the application is divided into separate modules to separate the functionality of your application. Lets take an example of app.module.ts root module declared with @NgModule decorator as below,","General","intermediate","general"
"What are lifecycle hooks available?","Angular application goes through an entire set of processes or has a lifecycle right from its initiation to the end of the application. The representation of lifecycle in pictorial representation as follows,","General","intermediate","general"
"What is a data binding?","Data binding is a core concept in Angular and allows to define communication between a component and the DOM, making it very easy to define interactive applications without worrying about pushing and pulling data. There are four forms of data binding(divided as 3 categories) which differ in the way the data is flowing.","General","intermediate","general"
"What is metadata?","Metadata is used to decorate a class so that it can configure the expected behavior of the class. The metadata is represented by decorators","General","intermediate","general"
"What is angular CLI?","Angular CLI(Command Line Interface) is a command line interface to scaffold and build angular apps using nodejs style (commonJs) modules. You need to install using below npm command,","General","intermediate","general"
"What is the difference between constructor and ngOnInit?","The Constructor is a default method of the class that is executed when the class is instantiated and ensures proper initialisation of fields in the class and its subclasses. Angular, or better Dependency Injector (DI), analyses the constructor parameters and when it creates a new instance by calling new MyClass() it tries to find providers that match the types of the constructor parameters, resolves them and passes them to the constructor.","General","intermediate","general"
"What is a service?","A service is used when a common functionality needs to be provided to various modules. Services allow for greater separation of concerns for your application and better modularity by allowing you to extract common functionality out of components.","General","intermediate","general"
"What is dependency injection in Angular?","Dependency injection (DI), is an important application design pattern in which a class asks for dependencies from external sources rather than creating them itself. Angular comes with its own dependency injection framework for resolving dependencies( services or objects that a class needs to perform its function).So you can have your services depend on other services throughout your application.","Dependency Injection","easy","angular"
"How is Dependency Hierarchy formed?","Injectors in Angular have rules that can be leveraged to achieve the desired visibility of injectables in your applications. By understanding these rules, you can determine in which NgModule, Component, or Directive you should declare a provider.","General","intermediate","general"
"What is the purpose of async pipe?","The AsyncPipe subscribes to an observable or promise and returns the latest value it has emitted. When a new value is emitted, the pipe marks the component to be checked for changes.","General","intermediate","general"
"What is the option to choose between inline and external template file?","You can store your component's template in one of two places. You can define it inline using the template property, or you can define the template in a separate HTML file and link to it in the component metadata using the @Component decorator's templateUrl property.","General","intermediate","general"
"What is the purpose of *ngFor directive?","We use Angular *ngFor directive in the template to display each item in the list. For example, here we can iterate over a list of users:","General","intermediate","general"
"What is the purpose of *ngIf directive?","Sometimes an app needs to display a view or a portion of a view only under specific circumstances. The Angular *ngIf directive inserts or removes an element based on a truthy/falsy condition. Let's take an example to display a message if the user age is more than 18:","General","intermediate","general"
